sequence_id	original_indus	english_translation
seq_337	la gh pa si ma	The mother sits.
seq_338	gh ka ch	A person's cut.
seq_339	ta dh sa un ka pa	The person's father holds.
seq_340	sa _ ch	A _'s cut.
seq_341	ma sa la	A mother's small stand.
seq_342	ma ra ra	The king's king.
seq_343	dh ba ha ku	A land's grain holds good.
seq_344	ra sa ka na	The person's river.
seq_345	pa la pa ra ta	A king's three.
seq_346	sa la pr kh	Before a stand's small sky.
seq_347	na dh pa cha	The father holds sacred.
seq_348	ra ta ta	A three's three.
seq_349	ka na bh	The person's river bes.
seq_350	la _ pa na	The father's river.
seq_351	an dh ra	At the king holds.
seq_352	sa si ma	The mother sits.
seq_353	na re ch si	Sits.
seq_354	pa ta la ga pa	The three's great father.
seq_355	sh ch ra sa ra ra	The king's king shines.
seq_356	na pa pa un	Up the father's father.
seq_357	bh na gh	A house bes.
seq_358	na _ _ jha	The _'s place.
seq_359	ma si ma	The mother sits.
seq_360	dh ch ba	A cut holds good.
seq_361	na ma mu	A mother's mouth.
seq_362	sa pa ta na	The three's river.
seq_363	pa mu dh dh	Holds.
seq_364	pa ku ku mu ra	The mouth's king.
seq_365	ta na ta	A river's three.
seq_366	na pa la ka ku	A person's grain.
seq_367	la ma la ka sh la	A mother's small person shines small.
seq_368	ka pa ba	The person's good father.
seq_369	_ _ _ pa	The _'s father.
seq_370	ra dh la	The king holds small.
seq_371	la pr ch la na	The cut's small river.
seq_372	la re dh ta	A small three holds.
seq_373	ga ga ga dh	Holds.
seq_374	ra pa ma	The father's mother.
seq_375	na pa gh ku	A house's grain.
seq_376	na ba ka pa	The person's father.
seq_377	na pa na	The father's river.
seq_378	ka ta ma	The three's mother.
seq_379	mu sa la ma	The stand's small mother.
seq_380	ga gh _ cha	A house's sacred _.
seq_381	bh ba sa ra	The stand's king bes good.
seq_382	ta la gh	A three's small house.
seq_383	ku pu na na ka	A river's person.
seq_384	ka ba ku	A person's good grain.
seq_385	ga ra pa ku la	A father's small grain.
seq_386	ka pa ta	A father's three.
seq_387	ma la an	At the small mother.
seq_388	ta la ba ta na la	The three's small river.
seq_389	sa ba pa dh na ra	The king holds.
seq_390	pa pa ka dh pa	The father holds.
seq_391	na _ _ jha	The _'s place.
seq_392	sa na la	The stand's small river.
seq_393	na na gh ba pa	The house's good father.
seq_394	ja na ra na pa ka pa	The person's father comes.
seq_395	ta la ra ka	A king's person.
seq_396	la la ga	Great.
seq_397	ta mu ra	The mouth's king.
seq_398	sa ch na ra	The river's king.
seq_399	_ ga ja ja ku	A great grain comes.
seq_400	sa _ sa	A _'s stand.
seq_401	la ta _	A three's _.
seq_402	pa _ _ pa	The _'s father.
seq_403	ta sa un	Up a three's stand.
seq_404	ta mu na pa	The river's father.
seq_405	ka ta ku dh	A three's grain holds.
seq_406	ra dh la ma ta	A mother's three holds small.
seq_407	na g dh pa	The father holds.
seq_408	la sa sa ra pa	The king's father.
seq_409	ku pa na na na ka	A river's person.
seq_410	la gh ka	A house's person.
seq_411	la pa ja ra	The king comes.
seq_412	la ra ma ma	The mother's mother.
seq_413	_ ga dh cha	A _ holds sacred.
seq_414	la ka _ ma dh	The _'s mother holds.
seq_415	la ka g na	The cow's river.
seq_416	g na ga ku ta sa	A three's stand.
seq_417	ch bh pa	The father bes.
seq_418	bh ra ta	A three bes.
seq_419	pa pa ha	The father's land.
seq_420	ku pa pa ka	A father's person.
seq_421	ku ka ka	A person's person.
seq_422	ta na dh	The three's river holds.
seq_423	ga sa la	A great small stand.
seq_424	na na _ jha	The _'s place.
seq_425	ba ta pa ja	The three's father comes.
seq_426	pa na la	The father's small river.
seq_427	sa ka ra la	The person's small king.
seq_428	pa bh ja ku pa	The father comes.
seq_429	bh ta pa ta	A father's three bes.
seq_430	ha pa ba	The land's good father.
seq_431	na la ba	The good river.
seq_432	ka ku ch	A grain's cut.
seq_433	na na ma	The river's mother.
seq_434	ha pa ka ma	The person's mother.
seq_435	_ _ _ pa	The _'s father.
seq_436	na na pa la ta	A father's small three.
seq_437	ku na la	The grain's small river.
seq_438	ta sa _	A stand's _.
seq_439	la gh gh na	The house's river.
seq_440	la mu ka pa sa	A father's stand.
seq_441	dh sa gh na	The house's river holds.
seq_442	na ka pu	A river's pure person.
seq_443	ba ta na pa	The river's father.
seq_444	na na bh	The river's river bes.
seq_445	pa la na pa	The river's father.
seq_446	ga ku ku	A grain's grain.
seq_447	_ _ ga cha	A _'s sacred _.
seq_448	pa si sa ha na	The land's river sits.
seq_449	ta ta ka	A three's person.
seq_450	la _ pa g	A father's cow.
seq_451	dh bh ka ta	A three bes.
seq_452	na _ _	A _'s _.
seq_453	ta ha ka	A land's person.
seq_454	la sa na	The stand's river.
seq_455	ma pa ku	A father's grain.
seq_456	ku ka _	A person's _.
seq_457	na ba pa la bh pa ga pa	The great father bes.
seq_458	na dh _ jha	The place holds.
seq_459	ma _ na	The _'s river.
seq_460	la ga ka	A great person.
seq_461	la la bh	Bes.
seq_462	ta ma ta	A mother's three.
seq_463	sa la dh	A small stand holds.
seq_464	ba ta ta	A three's three.
seq_465	la pa bh sa ba	A stand bes good.
seq_466	na ka ka pa sa	A father's stand.
seq_467	la g ka ma ka	A mother's person.
seq_468	ba ta pa ba	The three's good father.
seq_469	na pa _ cha	A father's sacred _.
seq_470	dh ma na na ka	A river's person holds.
seq_471	pa na si ra	The king sits.
seq_472	la ku la	A small small grain.
seq_473	pa ka ku ba	A person's good grain.
seq_474	bh ma pa ha	The father's land bes.
seq_475	ma ma na na bh	The river's river bes.
seq_476	pa ku ku dh	A grain's grain holds.
seq_477	ka bh na	The river bes.
seq_478	_ ra ma da sa	A stand does.
seq_479	sa ba sa ka	A stand's person.
seq_480	_ _ _ pa	The _'s father.
seq_481	ka la la	A small person.
seq_482	pa la ka	A father's small person.
seq_483	da sh ka	A person shines.
seq_484	la na ma na	The mother's river.
seq_485	bh ra ka pa	The person's father bes.
seq_486	ka na ku	A river's grain.
seq_487	ba na _	A river's _.
seq_488	na sa na	The stand's river.
seq_489	na la da	The small river does.
seq_490	bh ku sa ta	A stand's three bes.
seq_491	ga _ _ jha	The _'s place.
seq_492	na ba ma ta ta	A three's three.
seq_493	ha gh na ku la ra	The grain's small king.
seq_494	g ta pa ma	The father's mother.
seq_495	ma sh ja ta pa sa	A father's stand comes.
seq_496	la da dh pa	The small father holds.
seq_497	pa re sh	Shines.
seq_498	la ku sa ga	A grain's great stand.
seq_499	na la na la	The river's small small river.
seq_500	pa na na	The river's river.
seq_501	bh pa ta	A three bes.
seq_502	na na _ cha	A river's sacred _.
seq_503	_ _ pa ra gh	A king's house.
seq_504	dh ra ka	A person holds.
seq_505	na _ na	The _'s river.
seq_506	ta ka ku dh ku	A grain holds.
seq_507	ku na ga an	At the grain's great river.
seq_508	ka ja _ la	A _ comes small.
seq_509	pa ha na	The land's river.
seq_510	dh pa pa ta	A father's three holds.
seq_511	ku ra ta	A king's three.
seq_512	pu ma ma mu	A mother's mouth.
seq_513	pa _ _ pa	The _'s father.
seq_514	ma ka mu na	The mouth's river.
seq_515	ma pa ra	The father's king.
seq_516	ba ta _	A three's _.
seq_517	ka ta pa	The three's father.
seq_518	sa sa sa na	The stand's river.
seq_519	mu ra pa ma	The father's mother.
seq_520	pa sa la ka na	The person's river.
seq_521	ra na si ka	A person sits.
seq_522	ka sa ta ba na	The three's good river.
seq_523	ka ba la ma	The person's small mother.
seq_524	_ ga dh cha	A _ holds sacred.
seq_525	g ka ta ka	A three's person.
seq_526	pa ka bh ka dh sa	A stand holds.
seq_527	dh na ja ba	Comes good.
seq_528	ka na na	The river's river.
seq_529	na ta pa sa ba ka pa ra	The father's king.
seq_530	sa la ku	A stand's small grain.
seq_531	ma sa pr	Before a mother's stand.
seq_532	ta ma bh _ la	A _ bes small.
seq_533	ma pa na ch	A river's cut.
seq_534	na ta pa sa ku	A stand's grain.
seq_535	na _ _ jha	The _'s place.
seq_536	ra na pa ka ta	A person's three.
seq_537	ku la la ta ka	A three's person.
seq_538	la dh ka la sa la re	A small stand flows.
seq_539	na dh ku	A grain holds.
seq_540	mu ku pa la	The grain's small father.
seq_541	ha _ ta	A _'s three.
seq_542	ch ha pr na pa	The river's father.
seq_543	ma mu ra ch	A king's cut.
seq_544	ra ka ra	The person's king.
seq_545	pa pa si pa ka	A person sits.
seq_546	_ _ _ pa	The _'s father.
seq_547	_ si pa	The father sits.
seq_548	ch ka ka	A person's person.
seq_549	la pa mu	A father's mouth.
seq_550	pa sa _ ch ka sa _ na	The _'s river.
seq_551	na ma na ta	A river's three.
seq_552	ka dh ta ha pa ma sa _	A stand's _ holds.
seq_553	pa ra ka	A king's person.
seq_554	ja ma ma ta sa	A three's stand comes.
seq_555	sa ch ka	A cut's person.
seq_556	_ ba ch	A _'s good cut.
seq_557	ja ra na	The river comes.
seq_558	na ma sa ta ra ba	The three's good king.
seq_559	pa ma na	The mother's river.
seq_560	ra ga sh gh	A great house shines.
seq_561	ja g ta	A three comes.
seq_562	sa ta _ pa	The _'s father.
seq_563	pu na ja	The pure river comes.
seq_564	pa ch pa	The cut's father.
seq_565	ja sa ta	A three comes.
seq_566	na pa ch dh	A father's cut holds.
seq_567	ja na la	The river comes small.
seq_568	pa ja ta	A three comes.
seq_569	la ha ba	The small good land.
seq_570	ta na sa ku	A stand's grain.
seq_571	na la bh	The small river bes.
seq_572	ta sa la	A three's small stand.
seq_573	na ra g	A king's cow.
seq_574	ta sh pa	The father shines.
seq_575	pa ta ha pa _ ra	The _'s king.
seq_576	ga pa na la pa	The river's small father.
seq_577	pa bh pa gh	A house bes.
seq_578	dh na pa ra pa	The king's father holds.
seq_579	ra gh pa pa	The father's father.
seq_580	ta ma pa pa	The father's father.
seq_581	na la ku pa	The grain's father.
seq_582	_ ta la	A _'s small three.
seq_583	gh ba ka la	A house's good small person.
seq_584	sa ka pa ku ra na	The king's river.
seq_585	ba ch gh	A cut's house.
seq_586	pa sa na pa ma ga	The father's great mother.
seq_587	bh ba la la	Bes good small.
seq_588	sa pa ta ka na	The person's river.
seq_589	na la ra na sa ka sa ka	A stand's person.
seq_590	sa pa ta la	A father's small three.
seq_591	_ gh na ga ka sa	A person's stand.
seq_592	_ ta na	The three's river.
seq_593	sa sa na	The stand's river.
seq_594	na ja ka la ma	The small mother comes.
seq_595	ka ch na	The cut's river.
seq_596	la la pa ch na	The cut's river.
seq_597	na ra ma sa	A mother's stand.
seq_598	pa dh gh ka la ka	A small person holds.
seq_599	pa na la na ha	The river's land.
seq_600	an pa pa	The father's father.
seq_601	un na la	Up the small river.
seq_602	pa la ha ra	The land's king.
seq_603	pa na dh ma na	The river holds.
seq_604	si _ pa ta	A father's three sits.
seq_605	ra bh si ka ka	A person sits.
seq_606	la ku sa ga ma dh	The stand's great mother holds.
seq_607	bh pa la	The father bes small.
seq_608	ch na la	The cut's small river.
seq_609	da ra pa	The father does.
seq_610	la na la pa pa	The father's father.
seq_611	ha ka pa	The person's father.
seq_612	da dh ta gh ta sa	A three's stand holds.
seq_613	ch ra ga gh	A king's great house.
seq_614	dh ma ka ta	A person's three holds.
seq_615	na ta ka	A three's person.
seq_616	ma na ha ra	The land's king.
seq_617	pa pa si	The father's father sits.
seq_618	ta pa la ra	The father's small king.
seq_619	pa pa la pa	The father's small father.
seq_620	na ku ch ma	The cut's mother.
seq_621	la ka dh	A small person holds.
seq_622	la ka ba	A small good person.
seq_623	mu ba mu pa ta	A father's three.
seq_624	ba _ ta	A _'s three.
seq_625	ha na na	The river's river.
seq_626	_ la ma	The _'s small mother.
seq_627	na na sa ka ka ra _	A king's _.
seq_628	ma na ha la	The river's small land.
seq_629	ta sa la	A three's small stand.
seq_630	ch pa pa	The father's father.
seq_631	na sa bh	A river's stand bes.
seq_632	la sa mu	A stand's mouth.
seq_633	pa ra pa	The king's father.
seq_634	na _ pa	The _'s father.
seq_635	bh ha gh	A house bes.
seq_636	ka ta sa	A three's stand.
seq_637	ka na ka pa ka	A father's person.
seq_638	la g _ ka	A _'s person.
seq_639	ku pa ta la ma	The three's small mother.
seq_640	ga pa ba ku	A father's good grain.
seq_641	ku na pa mu mu dh ta	A three holds.
seq_642	ra ta la ka sa mu	A stand's mouth.
seq_643	mu na na	The river's river.
seq_644	mu ku ma ra	The mother's king.
seq_645	la la ba pa	The good father.
seq_646	gh ra ku ku	A grain's grain.
seq_647	ku ra ra	The king's king.
seq_648	na sa pa na	The father's river.
seq_649	ta pa sa la	A father's small stand.
seq_650	ja sa pa	The father comes.
seq_651	dh sa ka ta pa	The three's father holds.
seq_652	ku na ta	A river's three.
seq_653	mu ba la ma	The mouth's small mother.
seq_654	sa pa an	At the stand's father.
seq_655	ta pa la ch	A father's small cut.
seq_656	pa ma sa la	A mother's small stand.
seq_657	ha ga pa	The land's great father.
seq_658	g dh ta pa	The father holds.
seq_659	dh ch pa ra ka	A king's person holds.
seq_660	na ja dh na	The river holds.
seq_661	sa sa ba ta ta	A three's three.
seq_662	ka ja ta	A three comes.
seq_663	ch ka bh	A cut's person bes.
seq_664	ka ta kh	A three's sky.
seq_665	la dh ka la	A small person holds small.
seq_666	dh pu ta	A three holds pure.
seq_667	pa ka ka na	The person's river.
seq_668	mu sh pr	Before a mouth shines.
seq_669	_ pa pa	The father's father.
seq_670	na na sa sa	A stand's stand.
seq_671	ra sa na	The stand's river.
seq_672	pa gh ku ba ka ka ra	The person's king.
seq_673	pu pa pa ta	A father's three.
seq_674	na dh pa	The father holds.
seq_675	ha ta pa	The three's father.
seq_676	pa bh ka ka	A person bes.
seq_677	na pa bh sa pa	The father bes.
seq_678	gh sh na	The river shines.
seq_679	na bh ja ra sa ch	A stand's cut comes.
seq_680	ta sa ra la ta	A king's small three.
seq_681	bh ta sa ha	The stand's land bes.
seq_682	sa la na dh	The stand's small river holds.
seq_683	la ka la ra	The person's small king.
seq_684	la _ ka ba	A _'s good person.
seq_685	ka ra la	The person's small king.
seq_686	ku ka ta	A person's three.
seq_687	na na mu	A river's mouth.
seq_688	ku ba da ma	The good mother does.
seq_689	pa ma ha na pa	The river's father.
seq_690	ra gh dh bh	Bes.
seq_691	ta ma ta ha	The three's land.
seq_692	pa na pa	The river's father.
seq_693	sa sa sa	A stand's stand.
seq_694	sa ga sa na	The stand's river.
seq_695	gh pa ka	A father's person.
seq_696	ga pa na sa	A river's stand.
seq_697	ku pa na ku	A river's grain.
