sequence_id	original_indus	english_translation
seq_116	nan nan ga jha	Nan Nan Great Place
seq_117	dh na nan cha	Hold Water Nan Sacred
seq_118	na pa nan jha	Water Father Nan Place
seq_119	nan nan nan pa	Nan Nan Nan Father
seq_120	ga na gh cha	Great Water House Sacred
seq_121	na nan nan jha	Water Nan Nan Place
seq_122	pa nan nan pa	Father Nan Nan Father
seq_123	nan ga dh cha	Nan Great Hold Sacred
seq_124	na na nan jha	Water Water Nan Place
seq_125	nan pa nan pa	Nan Father Nan Father
seq_126	nan nan nan cha	Nan Nan Nan Sacred
seq_127	ga dh nan jha	Great Hold Nan Place
seq_128	na na pa cha	Water Water Father Sacred
seq_129	nan nan nan pa	Nan Nan Nan Father
seq_130	nan nan ga jha	Nan Nan Great Place
seq_131	na dh pa cha	Water Hold Father Sacred
seq_132	na nan nan jha	Water Nan Nan Place
seq_133	nan nan nan pa	Nan Nan Nan Father
seq_134	ga gh nan cha	Great House Nan Sacred
seq_135	na nan nan jha	Water Nan Nan Place
seq_136	pa nan nan pa	Father Nan Nan Father
seq_137	nan ga dh cha	Nan Great Hold Sacred
seq_138	na na nan jha	Water Water Nan Place
seq_139	nan nan nan pa	Nan Nan Nan Father
seq_140	nan nan ga cha	Nan Nan Great Sacred
seq_141	na dh nan jha	Water Hold Nan Place
seq_142	na pa nan cha	Water Father Nan Sacred
seq_143	nan nan nan pa	Nan Nan Nan Father
seq_144	ga nan nan jha	Great Nan Nan Place
seq_145	na na nan cha	Water Water Nan Sacred
seq_146	pa nan nan pa	Father Nan Nan Father
seq_147	nan ga dh cha	Nan Great Hold Sacred
seq_148	na nan nan jha	Water Nan Nan Place
seq_149	nan nan nan pa	Nan Nan Nan Father
seq_150	na ma sa ta ra ba	Water Mother Stand Three King Good
seq_151	la ha ba	Small land good
seq_152	ta ma pa pa	Three Mother Father Father
seq_153	nan gh na ga ka sa	Nan House Water Great Person Stand
seq_154	pa la ha ra	Father Small Land King
seq_155	ch ra ga gh	Cut King Great House
seq_156	ba nan ta	Good nan three
seq_157	bh ha gh	Be land house
seq_158	gh ra ku ku	House King Grain Grain
seq_159	ha ga pa	Land great father
seq_160	nan pa pa	Nan father father
seq_161	ta sa ra la ta	Three Stand King Small Three
seq_162	ta ma ta ha	Three Mother Three Land
seq_163	ba ra ra na dh	Good King King Water Hold
seq_164	ku ta pa mu	Grain Three Father Mouth
seq_165	sa pa gh	The stand father house
seq_166	sa sa ta	The stand stand three
seq_167	si ka la ch	Sit Person Small Cut
seq_168	ma an la	Mother at small
seq_169	ba sa ka	Good stand person
seq_170	ch pa bh	Cut father be
seq_171	la na si	Small water sit
seq_172	pa sa pa	The father of stand father
seq_173	la ku bh ra sa	Small Grain Be King Stand
seq_174	na ka ja pa	Water Person Come Father
seq_175	pa ku gh	Father grain house
seq_176	ma na ma	Mother water mother
seq_177	sa un na	The stand up water
seq_178	mu bh ka	Mouth be person
seq_179	ja nan la pa ha	Come Nan Small Father Land
seq_180	la ma an sa	Small Mother At Stand
seq_181	ba sa nan	Good stand nan
seq_182	pa bh ch ta	Father Be Cut Three
seq_183	sa ma la	The stand mother small
seq_184	ka ta pa ra	Person Three Father King
seq_185	pa ta an pa na	Father Three At Father Water
seq_186	ta ra bh	Three king be
seq_187	pa ba nan dh ja na	Father Good Nan Hold Come Water
seq_188	ta ta na	Three three water
seq_189	pa gh ku	Father house grain
seq_190	ra ja ra	King come king
seq_191	ta ka sa	Three person stand
seq_192	ta ra la sa ra pa ku la	Three King Small Stand King Father Grain Small
seq_193	la ka ha nan	Small Person Land Nan
seq_194	ha sa pa	Land stand father
seq_195	pa ma sa	Father mother stand
seq_196	pr na la sa bh	Before Water Small Stand Be
seq_197	ch nan la	Cut nan small
seq_198	na nan ta ta	Water Nan Three Three
seq_199	ch la mu	Cut small mouth
seq_200	ch sh ha	Cut shine land
seq_201	ka na pa	Person water father
seq_202	ha na ba	Land water good
seq_203	ba la ra	Good small king
seq_204	sa sa ta ta na kh	Stand Stand Three Three Water Sky
seq_205	ra pa pu	King father pure
seq_206	ma ta dh	Mother three hold
seq_207	pa ta ka sa pa pa	Father Three Person Stand Father Father
seq_208	ta ka ta	Three person three
seq_209	na ma na ra ja	Water Mother Water King Come
seq_210	ba sa sa pa la	Good Stand Stand Father Small
seq_211	pa pa ku ra	Father Father Grain King
seq_212	ta ga ra ta	Three Great King Three
seq_213	la da pa na	Small Do Father Water
seq_214	pa la pa	Father small father
seq_215	dh la bh na	Hold Small Be Water
seq_216	ta sa na sh	Three Stand Water Shine
seq_217	na ma ra na ra	Water Mother King Water King
seq_218	sa ch pa mu	Stand Cut Father Mouth
seq_219	na ha ku	Water land grain
seq_220	ra pa pa sa na la	King Father Father Stand Water Small
seq_221	ch ch ra sh	Cut Cut King Shine
seq_222	na nan ta	Water nan three
seq_223	pa bh an	Father be at
seq_224	g ra nan	Cow king nan
seq_225	na sa ku	The water of stand grain
seq_226	ku na ja un	Grain Water Come Up
seq_227	ja ka ka pa	Come Person Person Father
seq_228	kh na la	Sky water small
seq_229	ka dh g	Person hold cow
seq_230	la ja la ka	Small Come Small Person
seq_231	ta na sa pa	Three Water Stand Father
seq_232	g na na	Cow water water
seq_233	la ta ch	Small three cut
seq_234	ta ma da	Three mother do
seq_235	la nan ma pa	Small Nan Mother Father
seq_236	gh ba sa ka pa	House Good Stand Person Father
seq_237	kh ku dh ra	Sky Grain Hold King
seq_238	ba pa ba ra	Good Father Good King
seq_239	ch pa pa ch	Cut Father Father Cut
seq_240	pa ma gh	Father mother house
seq_241	dh sa sa	Hold stand stand
seq_242	ba dh ma	Good hold mother
seq_243	na bh la ta	Water Be Small Three
seq_244	pa la ja ka ka	Father Small Come Person Person
seq_245	ga na ma	Great water mother
seq_246	na pa ma ga pa ja	Water Father Mother Great Father Come
seq_247	re ra ra ka	Flow King King Person
seq_248	ch pa ga	Cut father great
seq_249	ku na sa ha si	Grain Water Stand Land Sit
seq_250	ku ka la sa ka ja	Grain Person Small Stand Person Come
seq_251	ha ka sa pa ta nan pa	Land Person Stand Father Three Nan Father
seq_252	na la g ra	Water Small Cow King
seq_253	nan dh ma	Nan hold mother
seq_254	na ba la ku	Water Good Small Grain
seq_255	la na si	Small water sit
seq_256	ka ka na	Person person water
seq_257	na na la ta	Water Water Small Three
seq_258	ta na ch ma	Three Water Cut Mother
seq_259	dh ta pa ga ku	Hold Three Father Great Grain
seq_260	ta ku pa	Three grain father
seq_261	ta pa pa	Three father father
seq_262	na sa ch la	Water Stand Cut Small
seq_263	na g pa si ta	Water Cow Father Sit Three
seq_264	pa pa pu	Father father pure
seq_265	ta na pa ta	Three Water Father Three
seq_266	ra la sa pa na	King Small Stand Father Water
seq_267	ku ta ra	Grain three king
seq_268	ja ba ba	Come good good
seq_269	g dh pa	Cow hold father
seq_270	ta na ga	Three water great
seq_271	ra ra ku	King king grain
seq_272	na pa pa	Water father father
seq_273	mu nan ha	Mouth nan land
seq_274	ku pa pa si	Grain Father Father Sit
seq_275	la ku ta pa dh pa	Small Grain Three Father Hold Father
seq_276	la na ra ba ra na	Small Water King Good King Water
seq_277	un ra la	Up king small
seq_278	ka ka ku	Person person grain
seq_279	sa ka an	The stand person at
seq_280	na pa pa un ka la ra na	Water Father Father Up Person Small King Water
seq_281	la ra bh la	Small King Be Small
seq_282	la gh an bh ta dh dh	Small House At Be Three Hold Hold
seq_283	na na na	Water water water
seq_284	ta ku ba	Three grain good
seq_285	ta ra na pa	Three King Water Father
seq_286	ga ka si dh	Great Person Sit Hold
seq_287	sa sa pa pa	Stand Stand Father Father
seq_288	na ta na	Water three water
seq_289	la bh la	Small be small
seq_290	na ku la ch	Water Grain Small Cut
seq_291	la ta la	Small three small
seq_292	la pa pa	Small father father
seq_293	pa pr ch	Father before cut
seq_294	bh dh ra	Be hold king
seq_295	ta ka pa	Three person father
seq_296	ka sa ta	Person stand three
seq_297	la na ra	Small water king
seq_298	ra ku ta kh kh	King Grain Three Sky Sky
seq_299	sa ka dh pa	Stand Person Hold Father
seq_300	nan ta ra ma	Nan Three King Mother
seq_301	ta gh na	Three house water
seq_302	na ba ka	Water good person
seq_303	ma ra ku	Mother king grain
seq_304	ka ja ka na ra	Person Come Person Water King
seq_305	la ta la	Small three small
seq_306	ma ka ba ku pr	Mother Person Good Grain Before
seq_307	ra ra la	King king small
seq_308	bh ra pa la ka	Be King Father Small Person
seq_309	na pa da na bh ta	Water Father Do Water Be Three
seq_310	la la ku ra	Small Small Grain King
seq_311	ta la ta	Three small three
seq_312	dh kh mu	Hold sky mouth
seq_313	pa ra ba pa ka ta un	Father King Good Father Person Three Up
seq_314	ba pa ja	Good father come
seq_315	mu g gh	Mouth cow house
seq_316	ta ka sa	Three person stand
seq_317	na na pa pa pa dh ma ka	Water Water Father Father Father Hold Mother Person
seq_318	dh ka bh ta	Hold Person Be Three
seq_319	la pa ku ka	Small Father Grain Person
seq_320	ka ra ku	Person king grain
seq_321	la gh ra nan ka ka na ra	Small House King Nan Person Person Water King
seq_322	ra ka mu	King person mouth
seq_323	ha ta pa	Land three father
seq_324	pa la nan sa pa	Father Small Nan Stand Father
seq_325	la ka ta	Small person three
seq_326	nan nan pa	Nan nan father
seq_327	ta ba ta na	Three Good Three Water
seq_328	na ku ra ku	Water Grain King Grain
seq_329	ka ba ch la	Person Good Cut Small
seq_330	pa ja ku la sa dh pa	Father Come Grain Small Stand Hold Father
seq_331	la ka gh sa	Small Person House Stand
seq_332	ta ka ra	Three person king
seq_333	ra pa na	King father water
seq_334	da bh ta	Do be three
seq_335	ba ra pa na	Good King Father Water
seq_336	bh na na nan	Be Water Water Nan
seq_337	pa ch ta ku	Father Cut Three Grain
seq_338	an ma ku	At mother grain
seq_339	pa ma pa re	Father Mother Father Flow
seq_340	ba ra sh	Good king shine
seq_341	ha sa sa pa ch	Land Stand Stand Father Cut
seq_342	ma ja dh	Mother come hold
seq_343	bh sh sa nan ma na la	Be Shine Stand Nan Mother Water Small
seq_344	ku ka pa	Grain person father
seq_345	pa pa ma	Father father mother
seq_346	gh ma ma la	House Mother Mother Small
seq_347	pa ta sa ba	Father Three Stand Good
seq_348	ka sa na	Person stand water
seq_349	dh na ta na	Hold Water Three Water
seq_350	si la ta	Sit small three
seq_351	kh la g ta	Sky Small Cow Three
seq_352	pa la la	Father small small
seq_353	na ra pa	Water king father
seq_354	ka mu la	Person mouth small
seq_355	pa na dh	Father water hold
seq_356	ch ka na	Cut person water
seq_357	ra sa la	The king of stand small
seq_358	ku ka dh	Grain person hold
seq_359	ma pa ma ka	Mother Father Mother Person
seq_360	ch ka ku	Cut person grain
seq_361	ha ra na ka	Land King Water Person
seq_362	ma ku ta	Mother grain three
seq_363	la sa ta	Small stand three
seq_364	nan la pa ra ka	Nan Small Father King Person
seq_365	ma ba ka	Mother good person
seq_366	ta ka ka pa	Three Person Person Father
seq_367	sa ra ma ch	Stand King Mother Cut
seq_368	bh da ku ch ta	Be Do Grain Cut Three
seq_369	ku nan ka	Grain nan person
seq_370	ha ta la	Land three small
seq_371	ha la sa ba ga ra	Land Small Stand Good Great King
seq_372	un nan na	Up nan water
seq_373	ma ma ma ka	Mother Mother Mother Person
seq_374	dh nan ra ku pa	Hold Nan King Grain Father
seq_375	ma ch ja pa ta	Mother Cut Come Father Three
seq_376	ch la na pa sa	Cut Small Water Father Stand
seq_377	dh pa pa pa sa	Hold Father Father Father Stand
seq_378	pa ja la	Father come small
seq_379	ku sa pa	Grain stand father
seq_380	bh pa na ma na sa	Be Father Water Mother Water Stand
seq_381	sa ka ku	The stand person grain
seq_382	pa sa ka	The father of stand person
seq_383	ma sa ra	The mother of stand king
seq_384	ka la sh	Person small shine
seq_385	ma pa pa ga ra kh na ku	Mother Father Father Great King Sky Water Grain
seq_386	sa sa kh dh ka	Stand Stand Sky Hold Person
seq_387	ta dh pa	Three hold father
seq_388	ka mu ra	Person mouth king
seq_389	ka ka sa	Person person stand
seq_390	la ch ra pa ta ta	Small Cut King Father Three Three
seq_391	ga na pa	Great water father
seq_392	ha bh sa pa	Land Be Stand Father
seq_393	nan pa ku si	Nan Father Grain Sit
seq_394	pa ta g	Father three cow
seq_395	na ha ra	Water land king
seq_396	la sa pa	Small stand father
seq_397	ka na la mu	Person Water Small Mouth
seq_398	sa bh na	The stand be water
seq_399	ba pa ta	Good father three
seq_400	bh ra na ta na	Be King Water Three Water
seq_401	ta la pa sa na	Three Small Father Stand Water
seq_402	sa ra da sa	Stand King Do Stand
seq_403	sa na pa	The stand water father
seq_404	bh ka pa na ka ra	Be Person Father Water Person King
seq_405	ka gh ta ka	Person House Three Person
seq_406	sa ku bh ka	Stand Grain Be Person
seq_407	nan ku la gh	Nan Grain Small House
seq_408	ra la ta	King small three
seq_409	ra nan pa	King nan father
seq_410	ta ra la	Three king small
seq_411	ha ma pa ka	Land Mother Father Person
seq_412	pa ja ra ta	Father Come King Three
seq_413	mu pa ra	Mouth father king
seq_414	na ta la ch	Water Three Small Cut
seq_415	na sa la ha	Water Stand Small Land
seq_416	ch ra ka ch ra	Cut King Person Cut King
seq_417	nan la ra ka	Nan Small King Person
seq_418	la ch ma la	Small Cut Mother Small
seq_419	ta ka gh	Three person house
seq_420	pa sa la ma	Father Stand Small Mother
seq_421	mu ja la ta kh la	Mouth Come Small Three Sky Small
seq_422	ch bh nan sa na	Cut Be Nan Stand Water
seq_423	ra pa na	King father water
seq_424	gh ra ka	House king person
seq_425	nan ta ta ra na	Nan Three Three King Water
seq_426	ma ka ga	Mother person great
seq_427	pa pa ma ha	Father Father Mother Land
seq_428	pa nan ja	Father nan come
seq_429	ta dh na na	Three Hold Water Water
seq_430	ku ta ba ku ha pa	Grain Three Good Grain Land Father
seq_431	nan sa pa	Nan stand father
seq_432	kh la ta	Sky small three
seq_433	ka ta ja	Person three come
seq_434	sa pa un	The stand father up
seq_435	ch pa ta kh ra si	Cut Father Three Sky King Sit
seq_436	na pa ta ka	Water Father Three Person
seq_437	sa na la	The stand water small
seq_438	ta sa dh	Three stand hold
seq_439	ta ra ba gh ta	Three King Good House Three
seq_440	ta sa dh	Three stand hold
seq_441	re pa an sa	Flow Father At Stand
seq_442	dh nan ka na pa pa	Hold Nan Person Water Father Father
seq_443	ta bh mu na	Three Be Mouth Water
seq_444	ra pa na ka ba si	King Father Water Person Good Sit
seq_445	ta ch ka ma	Three Cut Person Mother
seq_446	dh pa ku ra ra ra	Hold Father Grain King King King
seq_447	ma na ha la	Mother Water Land Small
seq_448	da ma sa ta ra la	Do Mother Stand Three King Small
seq_449	nan ch ra dh	Nan Cut King Hold
seq_450	re pa na ka ku	Flow Father Water Person Grain
seq_451	pa bh pa	Father be father
seq_452	la sa na	Small stand water
seq_453	ka gh an	Person house at
seq_454	ma nan pa	Mother nan father
seq_455	pa la ra ra na	Father Small King King Water
seq_456	gh ku bh	House grain be
seq_457	sa pa ku	The stand father grain
seq_458	pa pa ku ku	Father Father Grain Grain
seq_459	ja ha pa ja	Come Land Father Come
seq_460	ha pa ma ka ra	Land Father Mother Person King
seq_461	sa ka ha ku	Stand Person Land Grain
seq_462	ta ra ra dh	Three King King Hold
seq_463	la bh la ra	Small Be Small King
seq_464	mu mu ba	Mouth mouth good
seq_465	ra ga si	King great sit
seq_466	dh la la	Hold small small
seq_467	sa ra ba ka	Stand King Good Person
seq_468	ja ku na	Come grain water
seq_469	sa ta dh	The stand three hold
seq_470	pa mu ha ra	Father Mouth Land King
seq_471	ta mu ku	Three mouth grain
seq_472	la ra sa na	Small King Stand Water
seq_473	pa pa ma	Father father mother
seq_474	ka ta la	Person three small
seq_475	ga la la sa ka	Great Small Small Stand Person
seq_476	la dh la la	Small Hold Small Small
seq_477	nan sa ja an ba ba na na	Nan Stand Come At Good Good Water Water
seq_478	ma g na g	Mother Cow Water Cow
seq_479	g pa sa la na sa	Cow Father Stand Small Water Stand
seq_480	sa ta ha sa	Stand Three Land Stand
seq_481	na pa gh bh	Water Father House Be
seq_482	pa pr un pa	Father Before Up Father
seq_483	pa ku ra	Father grain king
seq_484	ta ch ka ch	Three Cut Person Cut
seq_485	ka ta si	Person three sit
seq_486	ga dh ch	Great hold cut
seq_487	la bh ka ra ma	Small Be Person King Mother
seq_488	ku dh ku da ra	Grain Hold Grain Do King
seq_489	na bh ma ma	Water Be Mother Mother
seq_490	pa na dh	Father water hold
seq_491	ku dh pa	Grain hold father
seq_492	la ka ta	Small person three
seq_493	ka pa pa ta ga	Person Father Father Three Great
seq_494	ku la pa ta ra la	Grain Small Father Three King Small
seq_495	ba ka pa	Good person father
seq_496	ka na pa nan ta	Person Water Father Nan Three
seq_497	dh ta ku	Hold three grain
seq_498	ta pa ma	Three father mother
seq_499	ra pa ta pa na	King Father Three Father Water
seq_500	ku la ku	Grain small grain
seq_501	ra si pa	King sit father
seq_502	ta pu ra da pu	Three Pure King Do Pure
seq_503	ta nan ma la	Three Nan Mother Small
seq_504	la ma ka bh ta ka	Small Mother Person Be Three Person
seq_505	ha ka pa	Land person father
seq_506	gh ku pa ka dh ta na	House Grain Father Person Hold Three Water
seq_507	pa sa mu	The father of stand mouth
seq_508	bh ta ja ch la	Be Three Come Cut Small
seq_509	ja sa ka ma	Come Stand Person Mother
seq_510	pa ma ch	Father mother cut
seq_511	ka ta na sa	Person Three Water Stand
seq_512	ka ta gh na ma	Person Three House Water Mother
seq_513	pa ra la bh ma	Father King Small Be Mother
seq_514	ba ta nan	Good three nan
seq_515	pa un ta gh	Father Up Three House
seq_516	ga la pa	Great small father
seq_517	pa pa sa	Father father stand
seq_518	gh ku dh	House grain hold
seq_519	la ba sa pr ma dh	Small Good Stand Before Mother Hold
seq_520	ka la ma	Person small mother
seq_521	ba ta ka	Good three person
seq_522	ma pa ka	Mother father person
seq_523	ta ra sa	Three king stand
seq_524	dh gh bh ka ra	Hold House Be Person King
seq_525	pa pa la ra na	Father Father Small King Water
seq_526	ba gh ha	Good house land
seq_527	ku na ku	Grain water grain
seq_528	ka ka la ra	Person Person Small King
seq_529	dh la ra an	Hold Small King At
seq_530	si sa la mu la	Sit Stand Small Mouth Small
seq_531	na un ma	Water up mother
seq_532	na ta ma	Water three mother
seq_533	ta ch bh ta ma	Three Cut Be Three Mother
seq_534	pa la ka la	Father Small Person Small
seq_535	nan ma na	Nan mother water
seq_536	na na na ra	Water Water Water King
seq_537	ga na dh	Great water hold
seq_538	na ka na ka	Water Person Water Person
seq_539	ku ka ja	Grain person come
seq_540	ka ha sa	Person land stand
seq_541	ku sa sa ma	Grain Stand Stand Mother
seq_542	bh ja sa	Be come stand
seq_543	ch la ta	Cut small three
seq_544	ch ka ma	Cut person mother
seq_545	pa bh ma	Father be mother
seq_546	ra dh la	King hold small
seq_547	ra gh ta	King house three
seq_548	ma ku ba	Mother grain good
seq_549	la sa la ta	Small Stand Small Three
seq_550	na na la bh	Water Water Small Be
seq_551	ra na la na	King Water Small Water
seq_552	ta ch na	Three cut water
seq_553	bh na pa sa ch	Be Water Father Stand Cut
seq_554	pa bh nan	Father be nan
seq_555	pa pa ta nan ma sa	Father Father Three Nan Mother Stand
seq_556	ra ma la	King mother small
seq_557	ka ku ka ta	Person Grain Person Three
seq_558	la ra sa	Small king stand
seq_559	la sa sa nan	Small Stand Stand Nan
seq_560	ta ga ha	Three great land
seq_561	g ba ka ku sa ta	Cow Good Person Grain Stand Three
seq_562	ku ma la ka pa ja pr ka	Grain Mother Small Person Father Come Before Person
seq_563	ta ta na	Three three water
seq_564	ma ka dh sa	Mother Person Hold Stand
seq_565	bh ga na nan ma pa	Be Great Water Nan Mother Father
seq_566	dh sa ha na ka ja	Hold Stand Land Water Person Come
seq_567	g ma ta bh	Cow Mother Three Be
seq_568	ta ma sa	Three mother stand
seq_569	ta pa pa ch	Three Father Father Cut
seq_570	ra ha nan dh	King Land Nan Hold
seq_571	pa la pa	Father small father
seq_572	pa pa na ta ku bh	Father Father Water Three Grain Be
seq_573	sa ka dh mu na	Stand Person Hold Mouth Water
seq_574	mu ku ch	Mouth grain cut
seq_575	ta mu ka pa	Three Mouth Person Father
seq_576	ku ta ma	Grain three mother
seq_577	ka la ra la	Person Small King Small
seq_578	sa ka pa ka	Stand Person Father Person
seq_579	ja ma mu nan	Come Mother Mouth Nan
seq_580	la ka pa la	Small Person Father Small
seq_581	la ku ma ra	Small Grain Mother King
seq_582	pa sa pa	The father of stand father
seq_583	gh ga ta	House great three
seq_584	na pa la pa ma	Water Father Small Father Mother
seq_585	ga la ha bh	Great Small Land Be
seq_586	ch ka la	Cut person small
seq_587	la pa nan sa	Small Father Nan Stand
seq_588	pa na ra dh ga	Father Water King Hold Great
seq_589	na ta pa	Water three father
seq_590	nan la na ch	Nan Small Water Cut
seq_591	ka bh ka	Person be person
seq_592	pa na ka bh la	Father Water Person Be Small
seq_593	ka pa sh ma ra ga	Person Father Shine Mother King Great
seq_594	ka ta na na pa ta	Person Three Water Water Father Three
seq_595	ta ma bh na sa ka ma	Three Mother Be Water Stand Person Mother
seq_596	ga ma sa	Great mother stand
seq_597	ch ma ga na	Cut Mother Great Water
seq_598	dh pa ma pa	Hold Father Mother Father
seq_599	g ba ja	Cow good come
seq_600	na ka ku na sa la la ta	Water Person Grain Water Stand Small Small Three
seq_601	ta la ga	Three small great
seq_602	sa un ja	The stand up come
seq_603	ma sa la	The mother of stand small
seq_604	ka sa pa na la	Person Stand Father Water Small
seq_605	ra la ma ba	King Small Mother Good
seq_606	sa ka la dh	Stand Person Small Hold
seq_607	pa bh sa ku pa ch	Father Be Stand Grain Father Cut
seq_608	na ha ta	Water land three
seq_609	ka ka nan	Person person nan
seq_610	na ka ku	Water person grain
seq_611	ma pa nan pa ta na ta ka	Mother Father Nan Father Three Water Three Person
seq_612	mu ka la	Mouth person small
seq_613	ma na ch ga	Mother Water Cut Great
seq_614	ka ha la	Person land small
seq_615	pa ku na	Father grain water
seq_616	pa sa pa ga ha ka	Father Stand Father Great Land Person
seq_617	bh pa ha	Be father land
seq_618	pa ba nan	Father good nan
seq_619	ga sa sa ta ja ka	Great Stand Stand Three Come Person
seq_620	sa la ma	The stand small mother
seq_621	ba ma ha	Good mother land
seq_622	ku ma pa ka	Grain Mother Father Person
seq_623	mu sa ta	Mouth stand three
seq_624	ka na ga	Person water great
seq_625	la pa pa	Small father father
seq_626	nan la na	Nan small water
seq_627	na ga sa ku bh	Water Great Stand Grain Be
seq_628	ka ha g g pa	Person Land Cow Cow Father
